X,Y,fid,TIPO,icon_url
-110.224036,23.654054,"584",INICIAL GENERAL,
-111.553491,24.424375,"585",SECUNDARIA,
-110.358,24.0349,"586",INICIAL GENERAL,
-109.777395,23.36457,"587",PRIMARIA,
-113.465028,27.673127,"588",SECUNDARIA,
-112.236334,27.06147,"589",SECUNDARIA,
-109.669825,23.061608,"590",PREESCOLAR,
-111.638903,25.026191,"591",PREESCOLAR,
-109.71377,23.104302,"592",PREESCOLAR,
-109.959008,22.906733,"593",PRIMARIA,
-109.920557,22.897244,"594",PRIMARIA,
-111.217435,24.652797,"595",PRIMARIA,
-110.304847,24.168856,"596",PREESCOLAR,
-111.641554,25.035884,"597",PRIMARIA,
-109.582222,23.219722,"598",SECUNDARIA,
-113.33179,27.34243,"599",PRIMARIA,
-110.299227,24.066513,"600",PREESCOLAR,
-111.451778,26.392414,"601",PRIMARIA,
-111.67314,25.036151,"602",PREESCOLAR,
-110.325846,24.144395,"603",PREESCOLAR,
-110.300915,24.130096,"604",PRIMARIA,
-109.92429,22.946803,"605",PREESCOLAR,
-111.332039,25.085111,"606",INICIAL GENERAL,
-113.298875,27.466263,"607",PREESCOLAR,
-109.70515,23.089263,"608",PREESCOLAR,
-111.684007,25.026138,"609",PRIMARIA,
-110.29992,24.067069,"610",PRIMARIA,
-113.572969,26.714892,"611",PRIMARIA,
-109.96538,22.913216,"612",SECUNDARIA,
-109.96538,22.913216,"613",SECUNDARIA,
-109.934802,22.901187,"614",PREESCOLAR,
-110.332811,24.130526,"615",PRIMARIA,
-112.197221,26.001319,"616",PREESCOLAR,
-111.938335,26.869739,"617",PRIMARIA,
-109.923769,22.946791,"618",PRIMARIA,
-109.935635,23.96773,"619",SECUNDARIA,
-110.300656,24.065916,"620",SECUNDARIA,
-113.382874,27.647502,"621",PRIMARIA,
-112.046402,26.20224,"622",SECUNDARIA,
-110.293322,24.146088,"623",PRIMARIA,
-112.139716,24.633514,"624",PRIMARIA,
-112.271239,27.346732,"625",PREESCOLAR,
-111.531,25.0972,"626",INICIAL GENERAL,
-109.945416,22.946225,"627",PRIMARIA,
-111.526,25.8337,"628",PRIMARIA,
-110.218437,23.447173,"629",PRIMARIA,
-111.649379,25.019276,"630",PRIMARIA,
-109.804106,23.893401,"631",INICIAL GENERAL,
-111.609,26.7186,"632",INICIAL GENERAL,
-109.924232,22.917938,"633",PREESCOLAR,
-115.170366,27.853672,"634",PREESCOLAR,
-110.296821,24.139419,"635",PREESCOLAR,
-109.719472,23.105079,"636",PRIMARIA,
-113.979278,26.987945,"637",INICIAL GENERAL,
-110.307805,24.115748,"638",PRIMARIA,
-109.928554,22.925888,"639",PRIMARIA,
-111.955371,25.122035,"640",PRIMARIA,
-111.368552,26.021801,"641",PRIMARIA,
-109.711196,23.073148,"642",PREESCOLAR,
-111.026125,24.899261,"643",PRIMARIA,
-110.226422,23.447577,"644",PREESCOLAR,
-110.137,24.0338,"645",INICIAL GENERAL,
-109.705743,23.190809,"646",SECUNDARIA,
-110.358,24.0349,"647",PRIMARIA,
-110.414711,24.103521,"648",PREESCOLAR,
-109.919472,22.897738,"649",PREESCOLAR,
-109.940641,22.892675,"650",PREESCOLAR,
-112.109597,25.192598,"651",PRIMARIA,
-109.922284,22.950947,"652",PREESCOLAR,
-110.325324,24.121645,"653",PREESCOLAR,
-110.327307,24.149432,"654",PREESCOLAR,
-113.388,27.6439,"655",INICIAL GENERAL,
-111.349957,26.018589,"656",SECUNDARIA,
-110.113541,23.877405,"657",PRIMARIA,
